Empresa,Complejo,planta,tag,servicio,tipo,fluido_c,temp_diseno_c,temp_entrada_c,temp_salida_c,flujo_total_c,flujo_entrada_vaporc,flujo_salida_vaporc,flujo_entrada_liquidoc,flujo_salida_liquidoc,cambio_fase,presion_diseno,presion_entrada_c,caida_carcasa_max_c,caida_carcasa_min_c,,fouling_carcasa,fluido_t,temperatura_diseno_t,temp_entrada_t,temp_salida_t,flujo_total_t,flujo_entrada_vaport,flujo_salida_vaport,flujo_entrada_liquidot,flujo_salida_liquidot,cambio_faset,presion_diseno_t,presion_entrada_t,caida_presion_max_t,caida_presion_min_t,,fouling_t,,q,mtd_c,area_total,n_tubos,long_tubos,od_tubos,id_carcasa,mat_carcasa,mat_tubo,conexiones_entrada_t,conexiones_salida_t,conexiones_entrada_c,conexiones_salida_c,tipo_tubo,pitch,fabricante,criticidad,corrosion_carcasa,corrosion_tubo,arreglo_serie,arreglo_paralelo,pasos_tubo,paso_carcasa,tema,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,208-C,Enfriador 4ta etapa compresor 181-J,TUBO/CARCASA,Gas de proceso,343,98.2,40.5,113392,113392,112347,,1045,Cambio de Fase Parcial,22.013,19.633,0.35,0.23,,0.00022,Agua enfriamiento,155,33.3,40.6,501700,,,501700,501700,Sin Cambio de Fase,15.013,4.503,0.7,0.69,,0.000294,,4245227,18.7,514,1194,7.315,0.01905,0.99,SA-516-70,SA 214,"10""-150#RF","10""-150#RF","2-12""-300#RF","16""-300#RF",Liso,0.02381,Kellog,Semi-cr’tico,0.003,0.003,1,1,2,,AJS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,210-C,Enfriador 5ta etapa compresor 181-J,TUBO/CARCASA,Gas de proceso,264,104.5,40.5,110246,110246,110246,,,Sin Cambio de Fase,44.013,38.623,0.62,0.33,,0.00022,Agua enfriamiento,343,33.3,40.3,558080,,,558080,558080,Sin Cambio de Fase,29.713,5.503,0.82,0.82,,0.000294,,4543600,21,367,857,7.315,0.01905,0.889,SA-516-70,SA 179,"10""-150#RF","10""-150#RF","2-10""-300#RF","12""-300#RF",Liso,0.02381,Kellog,Semi-cr’tico,0.003,0.003,1,1,2,,AJS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,213-C,Enfriador efluente convertidor acetileno,TUBO/CARCASA,Gas de proceso,343,112.7,40.6,1.07E+05,1.07E+05,1.07E+05,,,Sin Cambio de Fase,20.713,17.313,0.5,0.5,,0.00022,Agua enfriamiento,127,33.3,40.3,5.72E+05,,,5.72E+05,5.72E+05,Sin Cambio de Fase,14.213,5.503,0.69,0.55,,0.000294,,4.66E+06,22.7,384,1080,6.096,0.01905,1.05,SA-516-70,SA 214,"12""-150#RF","12""-150#RF","18""-150#RF","18""-150#RF",Liso,0.02381,Kellog,Semi-cr’tico,0.0015,0.003,1,1,2,1,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,301-C,Generador de vapor de diluc’—n,TUBO/CARCASA,Vapor de diluc—n,204,179,179,153273,,45982,153273,107291,Cambio de Fase Parcial,13.013,10.003,,,,0.00018,Vapor de alta presi—n,343,326,200,41225,41225,41225,,,Sin Cambio de Fase,46.013,15.803,0.2,0.16,,0.00009,,2.58E+09,20.2,855.2,998,7.315,0.01905,1.372,SA-516-70,SA 214,"12""-600#RF","6""-600#RF","2-6""-150#RF","2-16""-150#RF",Liso,0.0254,Kellog,No-cr’tico,0.006,0.003,1,1,2,,BXU,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,302-C,Calentador de vapor de diluc’—n,TUBO/CARCASA,Vapor de diluc—n,427,371,206,3870,3870,3870,,,Sin Cambio de Fase,47.013,16.253,0.25,0.12,,0.00009,Vapor de alta presi—n,204,179,190,49707,49707,49707,,,Sin Cambio de Fase,32.013,9.953,0.35,0.2,,0.00018,,416.655,76.3,33.8,145,2.44,0.03175,0.559,SA-516-70,SA 214,"12""-300#RF","12""-300#RF","4""-600#RF","4""-600#RF",Liso,0.0397,Kellog,No-cr’tico,0.003,0.006,1,1,1,1,BEM,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,303-C,Purga de vapor de diluci—n/ Intercambiador de condensados,TUBO/CARCASA,Purga de condensado,204,179,106,4.60E+03,4.60E+03,4.60E+03,,,Sin Cambio de Fase,13.013,,0.35,0.02,,0.00018,Condensado de proceso,121,89,101,2.67E+04,2.67E+04,2.67E+04,,,Sin Cambio de Fase,9.013,,0.35,0.12,,0.00018,,3.97E+05,33.5,13.3,94,2.44,0.01905,,SA-106-GR B,SA 214,"4""-150#RF","4""-150#RF","2""-150#RF","2""-150#RF",Liso,0.0254,Kellog,No-cr’tico,0.006,0.006,1,1,2,1,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,304-C,Enfriador purga de vapor de diluci—n,TUBO/CARCASA,Purga de condensado,121,106.8,40.6,4.60E+03,4.60E+03,4.60E+03,,,Sin Cambio de Fase,13.013,,0.35,0.02,,0.00018,Agua de enfriamiento,66,33.3,40.3,4.37E+04,,,4.37E+04,4.37E+04,Sin Cambio de Fase,9.013,,0.35,0.31,,0.000294,,3.56E+05,20.8,32.2,112,4.88,0.01905,,SA-106-GR B,SA 214,"4""-150#RF","4""-150#RF","2""-150#RF","1 1/2""-150#RF",Liso,0.0254,Kellog,No-cr’tico,0.006,0.003,1,1,2,1,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,2115-C,Cold Relief heater,TUBO/CARCASA,Vapor de alivio frio(Etileno),,-20,1,178000,178000,178000,,,Sin Cambio de Fase,,2.403,0.3,0.3,,0.000176,Vapor,,138.3,138.3,2607,2607,,,,Sin Cambio de Fase,,3.433,,0.18,,0.000088,,1555510,147.2,63.8,,4.267,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,103-CH I,Quench gases de pirolisis(Condiciones de dise–o),TUBO/CARCASA,Agua saturada,265.5555,260,260,,,,,,Sin Cambio de Fase,,46.523,,,,0.0005,Efluente horno pirolisis,885,843.33,,39000,30000,30000,,,Sin Cambio de Fase,,2.1855,,,,,,,,,,,,,CS,SA 312 T12,,,"1« 10""","1«12""",Liso,,Kellog,No-cr’tico,,,,1,1,1,QUENCH BOILER,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,103-CH I,Quench gases de pirolisis(Caso alternativo I),TUBO/CARCASA,Agua saturada,265.5555,260,260,,,,,,Sin Cambio de Fase,,46.523,,,,0.0005,Efluente horno pirolisis,885,826.66,,57000,44000,44000,,,Sin Cambio de Fase,,2.1855,,,,,,,,,,6.096,,,CS,SA 312 T13,,,"1« 10""","1«12""",Liso,,Kellog,No-cr’tico,,,,1,1,1,QUENCH BOILER,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,103-CH I,Quench gases de pirolisis(Caso alternativo II),TUBO/CARCASA,Agua saturada,265.5555,260,260,,,,,,Sin Cambio de Fase,,39.6241,,,,0.0005,Efluente horno pirolisis,885,843.33,,50700,39000,39000,,,Sin Cambio de Fase,,2.1855,,,,,,,,,,6.096,,,CS,SA 312 T14,,,"1« 10""","1«12""",Liso,,Kellog,No-cr’tico,,,,1,1,1,QUENCH BOILER,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,140-C A,Vaporizador alimentaci—n del hidrogenador,TUBO/CARCASA,HC,,33,34.8,12660,552,12660,12108,,Cambio de Fase Parcial,,12.053,,,,0.00052,Vapor ,,138.3,138.3,1837,,,,,Sin Cambio de Fase,,2.44,0.13,0.2,,0.000176,,1096.4,,25,34,6.096,0.019,,CS,CS,"4""-150#RF","1 1/2""-150#RF","4""-150#RF","6""-150#RF",Tubo en U,0.0254,Industira metalurgias Van Dam,No-cr’tico,,,1,1,,,BKU,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,140-C B ,Vaporizador alimentaci—n del hidrogenador,TUBO/CARCASA,HC,,33,34.8,12660,552,12660,12108,,Cambio de Fase Parcial,,12.053,,,,0.00052,Vapor ,,138.3,138.3,1837,,,,,Sin Cambio de Fase,,2.44,0.13,0.2,,0.000176,,1096.4,,25,34,6.096,0.019,,CS,CS,"4""-150#RF","1 1/2""-150#RF","4""-150#RF","6""-150#RF",Tubo en U,0.0254,Industira metalurgias Van Dam,No-cr’tico,,,1,1,,,BKU,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,141-C,Supercalentador alimentaci—n del hidrogenador,TUBO/CARCASA,Vapor,,398.9,254,4535,,,,,Sin Cambio de Fase,,42.403,0.04,0.04,,0.00088,Hidrocarburo,,59.8,260,19151,,,,,Sin Cambio de Fase,,11.08,0.07,0.07,,0.000352,,2520.207,,103,290,6.096,0.019,,SA 515-70,SA 179,"8""-600#RF","8""-600#RF","3""-600#RF","2""-600#RF",Liso,0.0238,Kellogg,No-cr’tico,,,1,1,,,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,113-C,Enfriador de alimentaci—n al secador,TUBO/CARCASA,Propileno,,10.2,10,20887,4770,20887,16117,,Cambio de Fase Parcial,,7.763,0.03,0.05,,,Gas de proceso,,40.6,18.9,107062,107062,105118,,1657,Cambio de Fase Parcial,,15.12,0.7,0.7,,,,1643.009,,214,598,3.048,0.019,,SA 516-70,SA 214,"16""-300#RF","16""-300#RF","8""-150#RF","2 X 6""-150#RF",Liso,0.0238,Kellogg,Semi-cr’tico,,,1,1,,,BJM,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,156-C,Precalentador de Desaireado,TUBO/CARCASA,Alimentaci—n de agua para caldera,,49.4,68.3,130189,,,,,Sin Cambio de Fase,,4.463,1.2,0.56,,0.00088,Agua de proceso,,77.1,72.5,52292,,,,,Sin Cambio de Fase,,5.52,0.3,0.3,,0.000176,,2870.5,,193.4,539,7.315,0.01905,,CS,CS,"16""-150#RF","16""-150#RF","6""-150#RF","6""-150#RF",Liso,0.0238,Kellogg,No-cr’tico,,,1,1,,,NEN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,102-C,Super calentador de alimentaci—n de propano,TUBO/CARCASA,Vapor,,138.3,138.3,4655,,,,,Sin Cambio de Fase,,3.453,0.02,0.012,,0.00088,Propano,,18.5,46,61999,43950,61999,18049,,Cambio de Fase Parcial,,6.94,0.45,0.42,,0.00022,,2775.2,,39.8,225,7.315,0.019,,CS,Acero soldado,"10""-150#RF","12""-150#RF","8""-150#RF","3""-150#RF",Liso,0.0238,Kellogg,Semi-cr’tico,,,1,1,,,BEM,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,105-C A,Enfriamiento recirculaci—n a la 101-E,TUBO/CARCASA,Agua de enfriamineto,,40.3,46.1,1342514,,,,,Sin Cambio de Fase,,4.463,0.69,0.23,,0.000294,Agua de proceso,,80,65.6,522877,,,,,Sin Cambio de Fase,,4.83,0.14,0.14,,0.000352,,9055.9,,386.4,449,4.877,0.01905,,CS,CS,"12""-150#RF","12""-150#RF","16""-150#RF","16""-150#RF",Liso,0.0254,Kellogg,No-cr’tico,,,2,1,,,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,105-C B,Enfriamiento recirculaci—n a la 101-E,TUBO/CARCASA,Agua de enfriamineto,,40.3,46.1,1342514,,,,,Sin Cambio de Fase,,4.463,0.69,0.23,,0.000294,Agua de proceso,,80,65.6,522877,,,,,Sin Cambio de Fase,,4.83,0.14,0.14,,0.000352,,9055.9,,386.4,449,4.877,0.01905,,CS,CS,"12""-150#RF","12""-150#RF","16""-150#RF","16""-150#RF",Liso,0.0254,Kellogg,No-cr’tico,,,2,1,,,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,116-C,Intercambiador de regeneraci—n del secador,TUBO/CARCASA,Hidrocarburo,,14,195.2,12800,12800,12800,,,Sin Cambio de Fase,,6.203,0.2,0.09,,0.0001761,Hidrocarburo,,272,106.7,12800,12800,12800,,,Sin Cambio de Fase,,4.62,0.2,0.09,,0.0001762,,1643.9,,109,382,6.096,0.019,,CS,CS,"12""-150#RF","10""-150#RF","10""-150#RF","12""-150#RF",Liso,0.0238,Kellogg,Semi-cr’tico,,,1,1,,,BEM,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,117-C,Enfriador de la regeneraci—n del secador,TUBO/CARCASA,Hidrocarburo,,106.7,40.6,12800,12800,12800,,,Sin Cambio de Fase,,5.383,0.2,0.1,,0.0001762,Agua de Enfriamiento,,33.3,40.3,71980,,,,,Sin Cambio de Fase,,4.49,0.35,0.05,,0.000352,,583,,138,482,3.048,0.019,,CS,CS,"6""-150#RF","6""-150#RF","TWO-8""-150#RF","10""-150#RF",Liso,0.0238,Kellogg,Semi-cr’tico,,,1,1,,,AJS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,132-C,Enfriador de Dripoleno,TUBO/CARCASA,Dripoleno,,95.1,40.6,3.68E+08,,,3.68E+08,3.68E+08,Sin Cambio de Fase,,4.503,0.7,0.08,,0.00022,Agua de enfriamiento,,33.3,40.3,1.48E+09,,,,,Sin Cambio de Fase,,4.5,0.7,0.6,,0.000294,,1.14E+10,,24.4,7,9.144,0.022,,CS,CS,"2-1/2"" 2-B.W","2-1/2"" 2-B.W","2-1/2"" 2-BOLT","2-1/2"" 2-BOLT",Horquilla,,Kellogg,Semi-cr’tico,,,1,1,,,Tuber’a doble,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,139-C,Rehervidor del separador de Dripoleno,TUBO/CARCASA,Vapor,,138.3,138.3,49,,,,,Sin Cambio de Fase,,3.443,,,,0.00088,Hidrocarburo,,90.3,95.1,14129,,14129,14129,13826,Cambio de Fase Parcial,,1.27,,0.51,,0.000329,,2939.1,,18,105,9.144,0.019,,SA 106-B,SA214,"4""-150#RF","4""-150#RF","2""-150#RF","1""-150#RF",Liso,0.0238,Kellogg,No-cr’tico,,,1,1,,,NEN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,143-C 1A,C3 splitter condenser,TUBO/CARCASA,Propileno,65.5,46.7,45.8,284196,284196,,,284196,Cambio de Fase Total,23.763,19.083,0.35,0.16,,0.000176,Agua Enfriamiento,65.5,33.3,40.3,2809.144,,,2809.144,2809.144,Sin Cambio de Fase,11.353,5.503,0.7,0.5,,0.00029,,22869700,8.3,3866,1800,9.144,0.01905,1.143,CS,CS,"17""-150#RF","18""-150#RF","16""-300#RF","8""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.00159,0.00159,2,2,1,,NJN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,143-C 2A,C3 splitter condenser,TUBO/CARCASA,Propileno,65.5,46.7,45.8,284196,284196,,,284196,Cambio de Fase Total,23.763,19.083,0.35,0.16,,0.000176,Agua Enfriamiento,65.5,33.3,40.3,2809.144,,,2809.144,2809.144,Sin Cambio de Fase,11.353,5.503,0.7,0.08,,0.00029,,22869700,8.3,3866,1800,9.144,0.01905,1.143,CS,CS,"17""-150#RF","18""-150#RF","16""-300#RF","8""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.00159,0.00159,2,2,1,,NJN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,143-C 1B,C3 splitter condenser,TUBO/CARCASA,Propileno,65.5,46.7,45.8,284196,284196,,,284196,Cambio de Fase Total,23.763,19.083,0.35,0.16,,0.000176,Agua Enfriamiento,65.5,33.3,40.3,2809.144,,,2809.144,2809.144,Sin Cambio de Fase,11.353,5.503,0.7,0.08,,0.00029,,22869700,8.3,3866,1800,6.096,0.01905,1.143,CS,CS,"17""-150#RF","18""-150#RF","16""-300#RF","8""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.00159,0.00159,2,2,1,,NJN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,143-C 2B,C3 splitter condenser,TUBO/CARCASA,Propileno,65.5,46.7,45.8,284196,284196,,,284196,Cambio de Fase Total,23.763,19.083,0.35,0.16,,0.000176,Agua Enfriamiento,65.5,33.3,40.3,2809.144,,,2809.144,2809.144,Sin Cambio de Fase,11.353,5.503,0.7,0.08,,0.00029,,22869700,8.3,3866,1800,6.096,0.01905,1.143,CS,CS,"17""-150#RF","18""-150#RF","16""-300#RF","8""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.00159,0.00159,2,2,1,,NJN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,112-C A,Alimentaci—n Conv. Acetileno/ Efluente,TUBO/CARCASA,Efluente Convertidor,283,225,112.6,107046,107046,1070456,,,Sin Cambio de Fase,20.663,17.633,0.32,0.1,,0.00022,Gas frio de Proceso,302,40.6,195,107046,107046,107046,,,Sin Cambio de Fase,20.663,19.283,0.32,0.03,,0.00022,,10666368,65.5,778,1089,6.096,0.01905,0.94,CS,CS,"10""-150#RF","10""-150#RF","10""-150#RF","10""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.0015,0.0015,1,2,1,1,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,112-C B ,Alimentaci—n Conv. Acetileno/ Efluente,TUBO/CARCASA,Efluente Convertidor,283,225,112.6,107046,107046,1070456,,,Sin Cambio de Fase,20.663,17.633,0.32,0.1,,0.00022,Gas frio de Proceso,302,40.6,195,107046,107046,107046,,,Sin Cambio de Fase,20.663,19.283,0.32,0.03,,0.00022,,10666368,65.5,778,1089,9.144,0.01905,0.94,CS,CS,"10""-150#RF","10""-150#RF","10""-150#RF","10""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.0015,0.0015,1,2,1,1,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,112-C C,Alimentaci—n Conv. Acetileno/ Efluente,TUBO/CARCASA,Efluente Convertidor,283,225,112.6,107046,107046,1070456,,,Sin Cambio de Fase,20.663,17.633,0.32,0.1,,0.00022,Gas frio de Proceso,302,40.6,195,107046,107046,107046,,,Sin Cambio de Fase,20.663,19.283,0.32,0.03,,0.00022,,10666368,65.5,778,1089,9.144,0.01905,0.94,CS,CS,"10""-150#RF","10""-150#RF","10""-150#RF","10""-150#RF",Liso ,0.02381,Kellog,No-cr’tico,0.0015,0.0015,1,2,1,1,AES,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,125-C,Condensador desetanizador,TUBO/CARCASA,Propileno,65,-25.5,-25.5,34926,5197,34926,29729,,Cambio de Fase Parcial,6.213,2.483,0.03,0.01,,0.00018,Hidrocarburos,65,-15.7,-16.5,97170,97170,58898,,38272,Cambio de Fase Parcial,23.813,22.013,0.34,0.25,,0.00018,,3430000,9.4,1002,1877,9.144,0.01905,1.549,CS,CS,"10""-150#RF","10""-150#RF","2-10""-150#RF","3-10""-150#RF",Liso ,0.02381,Kellog,Semi-critico,0.0016,0.0016,1,1,2,,BJM,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,134-CA,Condensador Propileno,TUBO/CARCASA,Propileno,65,55.6,46,285808,285808,,,285808,Cambio de Fase Total,23.413,19.463,0.61,0.05,,0.000176,Agua,65,33.3,40.3,3116900,,,,,Cambio de Fase Parcial,16.013,5.513,0.7,0.36,,0.000294,,25377000,9.9,4896,3045,9.144,0.01905,1.448,SA 516-70,SA 214,"16""-150#RF","16""-150#RF","2-10""-300#RF","10""-300#RF",Liso,0.02381,Kellog,No-cr’tico,0.0013,0.003,1,3,2,1,NJN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,134-CB,Condensador Propileno,TUBO/CARCASA,Propileno,65,55.6,46,285808,285808,,,285808,Cambio de Fase Total,23.413,19.463,0.61,0.05,,0.000176,Agua,65,33.3,40.3,3116900,,,,,Cambio de Fase Parcial,16.013,5.513,0.7,0.36,,0.000294,,25377000,9.9,4896,3045,6.096,0.01905,1.448,SA 516-70,SA 214,"16""-150#RF","16""-150#RF","2-10""-300#RF","10""-300#RF",Liso,0.02381,Kellog,No-cr’tico,0.0013,0.003,1,3,2,1,NJN,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,134-CC,Condensador Propileno,TUBO/CARCASA,Propileno,65,55.6,46,285808,285808,,,285808,Cambio de Fase Total,23.413,19.463,0.61,0.05,,0.000176,Agua,65,33.3,40.3,3116900,,,,,Cambio de Fase Parcial,16.013,5.513,0.7,0.36,,0.000294,,25377000,9.9,4896,3045,7.315,0.01905,1.448,SA 516-70,SA 214,"16""-150#RF","16""-150#RF","2-10""-300#RF","10""-300#RF",Liso,0.02381,Kellog,No-cr’tico,0.0013,0.003,1,3,2,1,NJN,,,,,,,,,,,,,,
